, 98, 36, 11178, 7129, 4049, 66, 244.72, P2
2020/07/17 12:07:40.339, 99, 51, 11176, 5282, 5894, 79, 97.19, P2
2020/07/17 12:07:41.344, 83, 50, 11178, 7129, 4049, 69, 121.66, P2
2020/07/17 12:07:41.350, 99, 36, 11176, 5282, 5894, 80, 95.04, P2
2020/07/17 12:07:42.356, 82, 37, 11178, 7129, 4049, 69, 136.69, P2
2020/07/17 12:07:42.360, 75, 26, 11176, 5282, 5894, 80, 134.29, P2
2020/07/17 12:07:43.366, 98, 48, 11178, 7129, 4049, 69, 251.39, P2
2020/07/17 12:07:43.369, 76, 14, 11176, 5282, 5894, 80, 254.43, P2
2020/07/17 12:07:44.373, 98, 37, 11178, 7129, 4049, 69, 274.76, P2
2020/07/17 12:07:44.376, 76, 23, 11176, 5282, 5894, 80, 258.41, P2
2020/07/17 12:07:45.381, 97, 49, 11178, 7129, 4049, 69, 126.99, P2
2020/07/17 12:07:45.390, 81, 26, 11176, 5282, 5894, 80, 133.80, P2
2020/07/17 12:07:46.403, 98, 46, 11178, 7129, 4049, 69, 255.76, P2
2020/07/17 12:07:46.407, 76, 19, 11176, 5282, 5894, 79, 266.04, P2
2020/07/17 12:07:47.416, 83, 49, 11178, 7129, 4049, 69, 115.75, P2
2020/07/17 12:07:47.418, 76, 17, 11176, 5282, 5894, 79, 130.32, P2
2020/07/17 12:07:48.420, 83, 53, 11178, 7129, 4049, 69, 172.34, P2
2020/07/17 12:07:48.422, 82, 34, 11176, 5282, 5894, 80, 92.84, P2
2020/07/17 12:07:49.425, 83, 38, 11178, 7129, 4049, 69, 101.16, P2
2020/07/17 12:07:49.429, 99, 45, 11176, 5282, 5894, 80, 106.20, P2
2020/07/17 12:07:50.431, 94, 49, 11178, 7129, 4049, 70, 253.06, P2
2020/07/17 12:07:50.434, 99, 51, 11176, 5282, 5894, 80, 252.75, P2
2020/07/17 12:07:51.436, 98, 38, 11178, 7129, 4049, 69, 258.16, P2
2020/07/17 12:07:51.438, 99, 42, 11176, 5282, 5894, 80, 263.69, P2
2020/07/17 12:07:52.447, 97, 47, 11178, 7129, 4049, 69, 207.45, P2
2020/07/17 12:07:52.452, 78, 26, 11176, 5282, 5894, 80, 229.07, P2
2020/07/17 12:07:53.454, 99, 46, 11178, 7129, 4049, 69, 274.98, P2
2020/07/17 12:07:53.458, 76, 17, 11176, 5282, 5894, 80, 281.47, P2
2020/07/17 12:07:54.460, 83, 51, 11178, 7129, 4049, 69, 150.43, P2
2020/07/17 12:07:54.462, 76, 18, 11176, 5282, 5894, 79, 161.30, P2
2020/07/17 12:07:55.465, 83, 52, 11178, 7129, 4049, 69, 156.96, P2
2020/07/17 12:07:55.467, 85, 36, 11176, 5282, 5894, 80, 93.23, P2
2020/07/17 12:07:56.472, 82, 38, 11178, 7129, 4049, 69, 98.55, P2
2020/07/17 12:07:56.479, 99, 45, 11176, 5282, 5894, 80, 99.93, P2
2020/07/17 12:07:57.492, 98, 46, 11178, 7129, 4049, 70, 178.10, P2
2020/07/17 12:07:57.494, 99, 51, 11176, 5282, 5894, 80, 165.17, P2
2020/07/17 12:07:58.500, 93, 35, 11178, 7129, 4049, 69, 307.07, P2
2020/07/17 12:07:58.506, 64, 25, 11176, 5282, 5894, 80, 266.62, P2
2020/07/17 12:07:59.512, 98, 48, 11178, 7129, 4049, 69, 281.17, P2
2020/07/17 12:07:59.514, 76, 14, 11176, 5282, 5894, 80, 189.04, P2
2020/07/17 12:08:00.524, 98, 38, 11178, 7129, 4049, 69, 228.09, P2
2020/07/17 12:08:00.526, 76, 21, 11176, 5282, 5894, 80, 233.09, P2
2020/07/17 12:08:01.528, 97, 49, 11178, 7129, 4049, 69, 105.44, P2
2020/07/17 12:08:01.538, 90, 39, 11176, 5282, 5894, 80, 97.02, P2
2020/07/17 12:08:02.541, 99, 45, 11178, 7129, 4049, 70, 151.27, P2
2020/07/17 12:08:02.546, 99, 46, 11176, 5282, 5894, 80, 96.71, P2
2020/07/17 12:08:03.548, 83, 52, 11178, 7129, 4049, 70, 126.18, P2
2020/07/17 12:08:03.552, 99, 52, 11176, 5282, 5894, 81, 124.34, P2
2020/07/17 12:08:04.560, 83, 52, 11178, 7129, 4049, 70, 253.88, P2
2020/07/17 12:08:04.562, 99, 38, 11176, 5282, 5894, 80, 244.85, P2
2020/07/17 12:08:05.570, 82, 37, 11178, 7129, 4049, 69, 244.35, P2
2020/07/17 12:08:05.580, 78, 25, 11176, 5282, 5894, 80, 239.19, P2
2020/07/17 12:08:06.598, 98, 49, 11178, 7129, 4049, 70, 269.90, P2
2020/07/17 12:08:06.602, 76, 17, 11176, 5282, 5894, 80, 294.08, P2
