timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], power.draw [W]
2020/06/08 18:46:39.276, 100, 63, 11178, 10761, 417, 255.86
2020/06/08 18:46:39.278, 0, 0, 11176, 170, 11006, 10.87
2020/06/08 18:46:44.282, 97, 77, 11178, 10761, 417, 272.60
2020/06/08 18:46:44.284, 0, 0, 11176, 170, 11006, 10.77
2020/06/08 18:46:49.287, 100, 73, 11178, 10761, 417, 253.57
2020/06/08 18:46:49.292, 0, 0, 11176, 170, 11006, 10.68
2020/06/08 18:46:54.302, 99, 61, 11178, 10761, 417, 268.29
2020/06/08 18:46:54.305, 0, 0, 11176, 170, 11006, 10.87
2020/06/08 18:46:59.308, 100, 71, 11178, 10761, 417, 250.49
2020/06/08 18:46:59.317, 0, 0, 11176, 170, 11006, 11.36
2020/06/08 18:47:04.320, 99, 62, 11178, 10761, 417, 262.02
2020/06/08 18:47:04.322, 0, 0, 11176, 170, 11006, 11.55
2020/06/08 18:47:09.326, 100, 70, 11178, 10761, 417, 266.91
2020/06/08 18:47:09.332, 0, 0, 11176, 170, 11006, 11.74
2020/06/08 18:47:14.339, 100, 67, 11178, 10761, 417, 261.92
2020/06/08 18:47:14.341, 0, 0, 11176, 170, 11006, 11.36
2020/06/08 18:47:19.344, 100, 67, 11178, 10761, 417, 260.11
2020/06/08 18:47:19.346, 0, 0, 11176, 170, 11006, 10.87
2020/06/08 18:47:24.350, 97, 69, 11178, 10761, 417, 257.76
2020/06/08 18:47:24.355, 0, 0, 11176, 170, 11006, 10.29
2020/06/08 18:47:29.362, 100, 68, 11178, 10761, 417, 271.49
2020/06/08 18:47:29.369, 0, 0, 11176, 170, 11006, 10.68
2020/06/08 18:47:34.376, 97, 69, 11178, 10761, 417, 244.13
2020/06/08 18:47:34.379, 0, 0, 11176, 170, 11006, 10.78
2020/06/08 18:47:39.383, 100, 67, 11178, 10761, 417, 257.60
2020/06/08 18:47:39.391, 0, 0, 11176, 170, 11006, 11.26
2020/06/08 18:47:44.398, 97, 70, 11178, 10761, 417, 222.93
2020/06/08 18:47:44.403, 0, 0, 11176, 170, 11006, 12.72
2020/06/08 18:47:49.410, 97, 77, 11178, 10761, 417, 263.87
2020/06/08 18:47:49.412, 0, 0, 11176, 170, 11006, 12.81
2020/06/08 18:47:54.416, 99, 61, 11178, 10761, 417, 178.21
2020/06/08 18:47:54.419, 0, 0, 11176, 170, 11006, 11.55
2020/06/08 18:47:59.423, 97, 76, 11178, 10761, 417, 264.84
2020/06/08 18:47:59.425, 0, 0, 11176, 170, 11006, 11.07
2020/06/08 18:48:04.428, 99, 61, 11178, 10761, 417, 181.53
2020/06/08 18:48:04.432, 0, 0, 11176, 170, 11006, 10.78
2020/06/08 18:48:09.439, 97, 75, 11178, 10761, 417, 259.82
2020/06/08 18:48:09.445, 0, 0, 11176, 170, 11006, 10.58
2020/06/08 18:48:14.452, 99, 61, 11178, 10761, 417, 189.91
2020/06/08 18:48:14.455, 0, 0, 11176, 170, 11006, 10.78
2020/06/08 18:48:19.459, 97, 76, 11178, 10761, 417, 256.53
2020/06/08 18:48:19.465, 0, 0, 11176, 170, 11006, 11.16
2020/06/08 18:48:24.476, 99, 62, 11178, 10761, 417, 222.56
2020/06/08 18:48:24.480, 0, 0, 11176, 170, 11006, 11.65
2020/06/08 18:48:29.487, 97, 74, 11178, 10761, 417, 285.38
2020/06/08 18:48:29.489, 0, 0, 11176, 170, 11006, 11.75
2020/06/08 18:48:34.493, 99, 61, 11178, 10761, 417, 264.20
2020/06/08 18:48:34.495, 0, 0, 11176, 170, 11006, 11.84
2020/06/08 18:48:39.499, 97, 71, 11178, 10761, 417, 274.27
2020/06/08 18:48:39.505, 0, 0, 11176, 170, 11006, 11.26
2020/06/08 18:48:44.509, 100, 66, 11178, 10761, 417, 267.83
2020/06/08 18:48:44.511, 0, 0, 11176, 170, 11006, 10.77
2020/06/08 18:48:49.515, 97, 73, 11178, 10761, 417, 266.77
2020/06/08 18:48:49.517, 0, 0, 11176, 170, 11006, 10.29
2020/06/08 18:48:54.521, 100, 66, 11178, 10761, 417, 268.97
2020/06/08 18:48:54.523, 0, 0, 11176, 170, 11006, 10.58
2020/06/08 18:48:59.526, 97, 74, 11178, 10761, 417, 277.64
2020/06/08 18:48:59.530, 0, 0, 11176, 170, 11006, 10.96
2020/06/08 18:49:04.534, 100, 71, 11178, 10761, 417, 267.92
2020/06/08 18:49:04.541, 0, 0, 11176, 170, 11006, 11.55
2020/06/08 18:49:09.548, 99, 64, 11178, 10761, 417, 181.40
2020/06/08 18:49:09.550, 0, 0, 11176, 170, 11006, 11.94
2020/06/08 18:49:14.554, 100, 69, 11178, 10761, 417, 278.92
2020/06/08 18:49:14.563, 0, 0, 11176, 170, 11006, 12.13
2020/06/08 18:49:19.570, 100, 70, 11178, 10761, 417, 177.60
2020/06/08 18:49:19.577, 0, 0, 11176, 170, 11006, 11.56
2020/06/08 18:49:24.581, 97, 76, 11178, 10761, 417, 265.22
2020/06/08 18:49:24.583, 0, 0, 11176, 170, 11006, 10.97
2020/06/08 18:49:29.586, 99, 61, 11178, 10761, 417, 186.27
2020/06/08 18:49:29.590, 0, 0, 11176, 170, 11006, 11.07
2020/06/08 18:49:34.594, 98, 77, 11178, 10761, 417, 254.87
2020/06/08 18:49:34.602, 0, 0, 11176, 170, 11006, 10.97
2020/06/08 18:49:39.610, 99, 62, 11178, 10761, 417, 210.64
2020/06/08 18:49:39.617, 0, 0, 11176, 170, 11006, 11.16
2020/06/08 18:49:44.621, 97, 77, 11178, 10761, 417, 277.93
2020/06/08 18:49:44.623, 0, 0, 11176, 170, 11006, 11.26
2020/06/08 18:49:49.626, 99, 61, 11178, 10761, 417, 260.98
2020/06/08 18:49:49.632, 0, 0, 11176, 170, 11006, 12.13
2020/06/08 18:49:54.636, 98, 77, 11178, 10761, 417, 260.96
2020/06/08 18:49:54.640, 0, 0, 11176, 170, 11006, 11.84
2020/06/08 18:49:59.643, 99, 62, 11178, 10761, 417, 254.64
2020/06/08 18:49:59.646, 0, 0, 11176, 170, 11006, 11.84
2020/06/08 18:50:04.649, 99, 66, 11178, 10761, 417, 272.75
2020/06/08 18:50:04.651, 0, 0, 11176, 170, 11006, 11.36
2020/06/08 18:50:09.655, 100, 68, 11178, 10761, 417, 268.89
2020/06/08 18:50:09.657, 0, 0, 11176, 170, 11006, 10.87
2020/06/08 18:50:14.661, 98, 70, 11178, 10761, 417, 278.03
2020/06/08 18:50:14.663, 0, 0, 11176, 170, 11006, 10.68
2020/06/08 18:50:19.666, 100, 68, 11178, 10761, 417, 266.38
2020/06/08 18:50:19.668, 0, 0, 11176, 170, 11006, 10.77
2020/06/08 18:50:24.672, 99, 70, 11178, 10761, 417, 276.12
2020/06/08 18:50:24.677, 0, 0, 11176, 170, 11006, 11.36
2020/06/08 18:50:29.684, 100, 68, 11178, 10761, 417, 266.09
2020/06/08 18:50:29.689, 0, 0, 11176, 170, 11006, 11.84
2020/06/08 18:50:34.693, 97, 70, 11178, 10761, 417, 260.09
2020/06/08 18:50:34.697, 0, 0, 11176, 170, 11006, 11.65
2020/06/08 18:50:39.701, 100, 66, 11178, 10761, 417, 253.13
2020/06/08 18:50:39.711, 0, 0, 11176, 170, 11006, 11.75
2020/06/08 18:50:44.718, 99, 62, 11178, 10761, 417, 220.30
2020/06/08 18:50:44.721, 0, 0, 11176, 170, 11006, 11.55
2020/06/08 18:50:49.724, 97, 76, 11178, 10761, 417, 263.45
2020/06/08 18:50:49.727, 0, 0, 11176, 170, 11006, 11.16
2020/06/08 18:50:54.731, 99, 61, 11178, 10761, 417, 185.53
2020/06/08 18:50:54.735, 0, 0, 11176, 170, 11006, 11.07
2020/06/08 18:50:59.739, 98, 76, 11178, 10761, 417, 264.36
2020/06/08 18:50:59.741, 0, 0, 11176, 170, 11006, 11.55
2020/06/08 18:51:04.745, 99, 62, 11178, 10761, 417, 184.30
2020/06/08 18:51:04.750, 0, 0, 11176, 170, 11006, 11.17
2020/06/08 18:51:09.754, 98, 75, 11178, 10761, 417, 250.91
2020/06/08 18:51:09.758, 0, 0, 11176, 170, 11006, 11.55
2020/06/08 18:51:14.762, 99, 61, 11178, 10761, 417, 253.87
2020/06/08 18:51:14.764, 0, 0, 11176, 170, 11006, 12.04
2020/06/08 18:51:19.768, 97, 69, 11178, 10761, 417, 271.75
2020/06/08 18:51:19.770, 0, 0, 11176, 170, 11006, 11.84
2020/06/08 18:51:24.774, 100, 66, 11178, 10761, 417, 262.81
2020/06/08 18:51:24.780, 0, 0, 11176, 170, 11006, 11.65
2020/06/08 18:51:29.784, 97, 72, 11178, 10761, 417, 274.20
2020/06/08 18:51:29.793, 0, 0, 11176, 170, 11006, 11.16
2020/06/08 18:51:34.800, 100, 66, 11178, 10761, 417, 271.76
2020/06/08 18:51:34.807, 0, 0, 11176, 170, 11006, 10.87
2020/06/08 18:51:39.811, 97, 73, 11178, 10761, 417, 274.53
2020/06/08 18:51:39.820, 0, 0, 11176, 170, 11006, 10.97
2020/06/08 18:51:44.824, 100, 66, 11178, 10761, 417, 273.61
2020/06/08 18:51:44.832, 0, 0, 11176, 170, 11006, 11.26
2020/06/08 18:51:49.836, 97, 74, 11178, 10761, 417, 268.93
